track,artist,playCount,totalMinutes,averageMinutesPerPlay,genre_boost,recentness_boost,normalized_score
I AM,IVE,417,1181.24055,2.8327111510791365,27.99187097582763,1.0,100.0
Spring Day,BTS,243,989.76715,4.073115843621399,22.51588580368315,1.0,64.70147867971029
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,274,732.5586999999999,2.6735718978102185,17.495238377109597,1.0020071201575156,39.14232720037173
Everybody Wants To Rule The World,Tears For Fears,335,1190.266566666667,3.553034527363184,10.465332815859274,1.0017607260356833,36.733615409452206
Enchanted,Taylor Swift,143,683.1530333333334,4.77729393939394,15.322739274510006,1.0,29.964629464214486
My Dude,Litany,206,651.8085,3.1641189320388348,15.233315998587038,1.0,29.61590370246292
"Me, Myself & I",G-Eazy,252,594.2412166666667,2.358100066137566,14.454189958828396,1.0035264299096498,26.75792358742178
Under The Influence,Chris Brown,227,627.38325,2.763802863436123,13.18781553030863,1.0098086244200282,25.35100123501393
E Hawa,Meghdol,128,558.7786833333333,4.365458463541667,14.098463616065798,1.0,22.72615683014083
See U Never,NIKI,170,564.1484,3.3185200000000004,13.111447893913963,1.0032736658179537,22.011861844991614
Mayonaka no Door / Stay With Me,Miki Matsubara,114,518.4437333333333,4.547752046783625,12.99744050473673,1.0,19.369338016860713
Heat Waves,Glass Animals,149,530.2982666666667,3.559048769574944,12.22946610153062,1.0,19.087587324613025
Tum Hi Ho,Mithoon,144,535.9439500000001,3.721832986111112,12.052827119218305,1.0,18.922796480012803
Gone,ROSÉ,166,519.9153166666667,3.1320199799196797,12.165715879670884,1.0,18.88910495708558
Starlight,TAEIL,132,432.96383333333335,3.2800290404040404,14.397175571815358,1.0,18.514191898138126
"Very, Slowly",BIBI,158,509.33305,3.2236268987341767,11.877331617248574,1.0,18.004198753147158
Sunn Raha Hai (Male Version),Ankit Tiwari,93,533.4017,5.735502150537634,11.560770545163797,1.0121928745258968,17.621557574314604
Sorry Dipannita,Maruf Parvez,103,514.9880333333333,4.999883818770226,11.508558471052996,1.0,16.903548439585528
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,145,490.85951666666665,3.3852380459770117,11.382415570346712,1.004154005910245,16.6037132001736
High School in Jakarta,NIKI,150,475.3786833333333,3.169191222222222,11.107880785221752,1.0076794917287168,15.867951193795605
I Love You So,The Walters,192,459.3002666666667,2.392188888888889,11.14743262277062,1.0,15.85936257626824
Master of Puppets,Metallica,104,581.6880333333334,5.593154166666666,9.20745183214878,1.0073850009291923,15.259232430967705
Tere Liye,Atif Aslam,123,498.03906666666666,4.04909810298103,10.433069916725232,1.009364258707416,15.235637859965736
CRY FOR ME,TWICE,171,528.0416333333334,3.0879627680311894,8.716074205213838,1.0,13.768141133398627
BTBT,B.I,137,432.6910333333333,3.1583287104622872,10.114566988830678,1.004228363564425,13.111822382292132
This Side of Paradise,Coyote Theory,123,434.6716,3.533915447154472,10.031835227225143,1.0156335457235608,13.044691127643015
American Dream,MKTO,189,406.0804166666667,2.1485736331569667,10.02554777565432,1.0,12.82780063239933
FOOL,WINNER,137,414.0253833333333,3.0220830900243305,9.730373004766838,1.0,12.083561194809437
Still With You,Jung Kook,150,496.8141166666667,3.312094111111111,8.132987436008271,1.0,11.987638773848927
FE!N (feat. Playboi Carti),Travis Scott,119,353.3166333333333,2.969047338935574,10.756477288189037,1.0045214401171225,11.476098917626956
FAKE LOVE,BTS,128,402.2857,3.14285703125,9.409344441985992,1.0,11.299381910110423
"Dekha Ek Khwab (From ""Silsila"")",Lata Mangeshkar,87,381.2284666666667,4.381936398467433,10.148874459625318,1.0,11.157617063470452
BOOM,NCT DREAM,162,470.8580833333333,2.906531378600823,7.831306182294018,1.0,11.114804727138154
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,139,383.0401,2.7556841726618706,9.110247248525685,1.0,10.592446209653321
I Wanna Be Yours,Arctic Monkeys,189,469.3856833333333,2.4835221340388007,7.214633638687135,1.0032658999221713,10.465038759097958
Split,88rising,123,382.8254833333333,3.112402303523035,8.964689635166717,1.0,10.256671575622251
"Kar Har Maidaan Fateh (From ""Sanju"")",Sukhwinder Singh,100,385.07576666666665,3.8507576666666665,8.630018075380931,1.0,9.701318270081531
EVERYDAY,WINNER,125,368.0374333333333,2.944299466666666,8.677950586870105,1.0,9.611037288157823
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,140,359.5328333333333,2.5680916666666667,8.63521981200357,1.00885521813724,9.600891352881897
"Ghalat Fehmi - From ""Superstar""",Asim Azhar,95,397.3313,4.182434736842105,8.245876425914895,1.0,9.488542026760642
BeVerly Hills BoYfRiEnd,Claire Rosinkranz,142,355.84495,2.505950352112676,8.576954846068906,1.007046584942871,9.45478637583231
