master_metadata_album_artist_name,genres
DNCE,
Jonas Brothers,
Shakira,latin pop
Bruce Adler,
Kacey Musgraves,
Kristen Bell,
Nathan Lane,
Ariana Grande,pop
Phil Harris,
Sia,"egyptian pop, arabic rap, egyptian hip hop"
James Vincent McMorrow,
Adele,"dangdut, sholawat"
ADHD,
Landon Austin,acoustic pop
Mark Ronson,
Kidz Bop Kids,children's music
Bruno Mars,
One Direction,
Demi Lovato,
OneRepublic,soft pop
U2,"opera, mizrahi"
Pharrell Williams,
Zara Larsson,
Era Istrefi,
Jonas Blue,tropical house
Daya,
Bebe Rexha,
Big Gigantic,
Hailee Steinfeld,
Maroon 5,pop
Mountain Faith,"bluegrass, southern gospel, newgrass"
MKTO,
August Alsina,r&b
Mudvayne,"nu metal, alternative metal, rap metal, metal"
Leslie Odom Jr.,musicals
Frank Scratch,
Panic! At The Disco,emo
G-Eazy,
Rihanna,
Shawn Mendes,
Lin-Manuel Miranda,musicals
Original Broadway Cast of Hamilton,musicals
John De Sohn,
Billy Joel,soft rock
Carl Douglas,
Queen,"classic rock, rock, glam rock"
Alex Brightman,musicals
Bryce Pinkham,musicals
Kanye West,rap
Skepta,grime
Chastity Belt,indie punk
Black Veil Brides,"emo, screamo"
Eminem,"rap, hip hop"
Jonathan Groff,musicals
Flo Rida,
Katy Perry,pop
Natasha Blume,
Various Artists,
MUNA,
Electro-Light,
Arcade Fire,"indie rock, baroque pop"
The Secret Sisters,americana
Neko Case,"alt country, americana"
Taylor Swift,
James Newton Howard,soundtrack
Birdy,
Cinescore,
Ben Schuller,
Lukas Graham,
Christina Grimmie,
Blake Shelton,country
Jordan Smith,christmas
Jasmine Thompson,
John Legend,"soft pop, neo soul"
Rachel Platten,
Gary Jules,
Michael Giacchino,soundtrack
Emily Ann Roberts,traditional country
DJ Khaled,
Bob,
The Weeknd,
Carrie Underwood,country
The Calling,pop rock
The Lumineers,"folk pop, indie folk"
American Authors,
Drake,"rap, hip hop"
Fifth Harmony,
Green Day,"punk, pop punk"
Dj Samih,
The Paper Kites,indie folk
Grover Cleveland,spoken word
Skrillex,"dubstep, edm, electro, electronic"
3LAU,edm
Chris Isaak,
R.E.M.,"jangle pop, alternative rock, rock"
Donny Osmond,
ZAYN,
Justin Timberlake,
A Great Big World,
The Score,
Jason Derulo,
Tauren Wells,"christian, worship, christian pop, pop worship, ccm"
Nick Jonas,
Ed Sheeran,soft pop
Imagine Dragons,
Alicia Keys,"r&b, neo soul"
Dolly Parton,country
Justin Bieber,
Wiz Khalifa,rap
Charlie Puth,"soft pop, pop"
Maty Noyes,
WALK THE MOON,
Twenty One Pilots,
SAYGRACE,
Creedence Clearwater Revival,"classic rock, southern rock, country rock"
War,"egyptian pop, arabic rap, egyptian hip hop"
Action Bronson,east coast hip hop
Grimes,art pop
Lil Wayne,"rap, hip hop"
Trevor Jones,soundtrack
Randy Edelman,
Clannad,"celtic, new age, celtic rock"
Something in the Night,
Jeremy Kay,surf rock
DJ Jason Blake,
Steven Curtis Chapman,"ccm, christian, pop worship, christian pop, christian rock"
Ella Eyre,
Pentatonix,christmas
Blake Neely,soundtrack
Kevin Gates,
Renée Elise Goldsberry,musicals
Thayne Jasperson,musicals
Phillipa Soo,musicals
Okieriete Onaodowan,musicals
Christopher Jackson,musicals
Daveed Diggs,musicals
Jasmine Cephas-Jones,musicals
Ariana DeBose,musicals
Meghan Trainor,
Coldplay,
Lady Gaga,"art pop, pop"
Josh Gad,musicals
Sean Paul,dancehall
Noah Cyrus,
Calvin Harris,edm
Jay Prince,
Houndmouth,
MiC LOWRY,
fun.,"opera, mizrahi"
Bastille,
Ellie Goulding,
Passion Pit,indie
Foster The People,
Robin Thicke,
T.J. Miller,alt country
Jim Gaffigan,comedy
Ashanti,r&b
Wolfgang Amadeus Mozart,"classical, requiem, opera, classical piano, chamber music"
The Script,
The Wanted,
Cole Swindell,"country, acoustic country"
Brett Eldredge,"country, christmas"
Alien Ant Farm,"nu metal, alternative metal"
Glee Cast,christmas
The Chainsmokers,
gnash,
The Roots,"east coast hip hop, jazz rap, hip hop"
Nas,
USHER,r&b
Regina Spektor,
HYTYD,
Dwayne Johnson,
Moana Karaoke,
Auli'i Cravalho,
DJ Snake,
Raphael Saadiq,"neo soul, soul, retro soul"
Adrian Younge,
Fuel,post-grunge
TV Themes,
The Tokens,doo-wop
Michael Jackson,
Major Lazer,moombahton
Brian Tyler,soundtrack
Lorne Balfe,soundtrack
Sean Dagher,"sea shanties, pirate metal"
Starley,
Teamheadkick,nerdcore
Taylor Davis,
Jesper Kyd,soundtrack
Dessa,classical
Post Malone,
Crimson Bile,"horrorcore, rap metal"
Franklin James,
Niall Horan,
Fort Minor,rap rock
Cameron Dallas,
KYLE,"new york drill, drill, jersey club, brooklyn drill, sexy drill"
Alessia Cara,
Future,rap
Clean Bandit,
Joep Beving,neoclassical
Timmy Trumpet,"melbourne bounce, big room"
Korn,
Lana Del Rey,
Molly Sandén,
Chloe x Halle,r&b
Austin Moon,
Nick Kroll,"children's music, comedy"
Scarlett Johansson,
Sam Smith,soft pop
Jennifer Hudson,
Tori Kelly,
Twenty One Two,
Us The Duo,folk pop
Taron Egerton,
Carly Rae Jepsen,
Thomas Bergersen,orchestra
Avicii,edm
Jordan Fisher,
RUNAGROUND,
Marvin Gaye,"motown, soul, northern soul, quiet storm"
Sam Feldt,tropical house
Kendrick Lamar,"hip hop, west coast hip hop"
Christopher Drake,soundtrack
Martin Garrix,"edm, electronica, progressive house"
Fall Out Boy,"emo, pop punk, emo pop"
James Arthur,soft pop
OMI,
Austin Basham,indie folk
Isabella Castillo,
Ameritz Indian Karaoke,
Zedd,edm
Matt Nathanson,
AURORA,"norwegian pop, art pop"
Luis Fonsi,latin
Tommy Butler,
Carlton Williams,
Mario,r&b
Stevie Wonder,"motown, soul"
SJUR,tropical house
Shankar-Ehsaan-Loy,"bollywood, sufi, desi, hindi pop"
Jatin-Lalit,"bollywood, hindi pop, desi"
Sandesh Shandilya,"bollywood, desi, hindi pop, sufi"
Nemistade,
Logic,
Lata Mangeshkar,"ghazal, bollywood, bhajan, hindi pop, marathi pop"
Pritam,"bollywood, hindi pop, desi, sufi"
Milton Breech,
Robinson,"edm, electronic"
Hearts & Colors,
Rudy Mancuso,
BAYNK,
Cautious Clay,
Sasha Alex Sloan,
The Walters,
Wallows,indie
The Civil Wars,
Smallpools,
Ingrid Michaelson,
Solange,"alternative r&b, neo soul"
The Cinematic Orchestra,"nu jazz, downtempo"
Frank Ocean,
KALEO,
Mac DeMarco,indie
Declan McKenna,
Leona Lewis,
Airbourne,hard rock
Bob Marley & The Wailers,"reggae, roots reggae"
Jay Rock,
John Lennon,christmas
Joni Mitchell,"folk, singer-songwriter, folk rock"
The Byrds,"folk rock, country rock, psychedelic rock, acid rock"
Yoko Ono,christmas
2 Chainz,"southern hip hop, rap"
Bon Iver,indie folk
Mike WiLL Made-It,
of Montreal,"psychedelic pop, baroque pop, art pop"
Joywave,
P.E.P.E.,"reggae, roots reggae"
MC Hammer,
Shotgun Willy,meme rap
Gwen Stefani,
Kyary Pamyu Pamyu,"j-pop, shibuya-kei"
Lil Pump,
Scarlxrd,"dark trap, rap metal, horrorcore, emo rap, punk rap"
Mr. C,"kannada pop, sandalwood"
Kyle Dixon & Michael Stein,"soundtrack, synthwave"
Lipps Inc.,disco
Wilson Pickett,"motown, soul, northern soul"
The Derek Trucks Band,"modern blues, blues rock, blues, southern rock, roots rock"
Percy Sledge,"motown, soul"
Eric Bibb,"blues, modern blues, country blues, classic blues"
MAMAMOO,k-pop
Steve Aoki,"electro house, edm"
BTS,
5 Seconds of Summer,
BLACKPINK,k-pop
BIGBANG,k-pop
iKON,
WINNER,
EXO,k-pop
GOT7,k-pop
ATEEZ,k-pop
NCT 127,k-pop
CHUNG HA,k-pop
PRETTYMUCH,
Khalid,
Jeet Gannguli,"bangla pop, hindi pop, bollywood"
Palak Muchhal,"bollywood, hindi pop, gujarati garba, desi"
Arijit Singh,"hindi pop, bollywood, desi, bangla pop"
Shreya Ghoshal,"bollywood, hindi pop, kannada pop, desi, marathi pop"
Mohammed Irfan,"hindi pop, bollywood"
TAEYANG,k-pop
Agust D,"k-pop, k-rap"
JENNIE,k-pop
Blackway,
Samuel - Akanksha,bollywood
DEAN,
PRISTIN V,k-pop
Jessi,classical
Dua Lipa,pop
j-hope,"k-pop, k-rap"
Alec Benjamin,
EXO-K,k-pop
TWICE,k-pop
Shayne Orok,"anime, j-pop"
MONSTA X,k-pop
HyunA,k-pop
Ankit Tiwari,"bollywood, hindi pop, desi"
Kris Wu,"chinese hip hop, c-pop, chinese r&b"
NU'EST W,merengue
Camila Cabello,
Weki Meki,k-pop
RM,
ASTRO,
DPR LIVE,k-rap
SUNMI,
JONGHYUN,"k-pop, k-ballad"
VIXX,k-pop
Jawad Ahmad,"bollywood, hindi pop, desi"
Jackson Wang,k-pop
The Rose,"k-rock, k-pop"
Red Velvet,k-pop
JAMIE,
Wanna One,k-pop
Badshah,"bollywood, desi, hindi pop, desi hip hop, desi pop, hindi hip hop"
Ali Gatie,
Neha Kakkar,"bollywood, hindi pop, desi, desi pop, gujarati garba"
Alvee,indie dance
LAY,
Rahat Fateh Ali Khan,"sufi, qawwali, bollywood, hindi pop, desi, ghazal"
MINO,dance pop
HWASA,k-pop
Loco,
Vishal-Shekhar,"bollywood, desi, hindi pop"
Aastha Gill,"bollywood, hindi pop, desi, desi pop"
Darshan Raval,"gujarati garba, hindi pop, bollywood, gujarati pop, desi pop, desi"
Atif Aslam,"bollywood, hindi pop, desi, sufi, qawwali"
PENTAGON,k-pop
A.R. Rahman,"tamil pop, kollywood, sufi, bollywood, hindi pop, desi, tamil dance"
Daniel Caesar,
Duckwrth,
Stray Kids,k-pop
TOMORROW X TOGETHER,k-pop
EXO-M,
G-DRAGON,"k-pop, k-rap"
ITZY,k-pop
SHINee,k-pop
SEVENTEEN,k-pop
Bhoomi Trivedi,"gujarati garba, gujarati pop, bollywood, desi"
EXID,k-pop
Gajendra Verma,"hindi pop, bollywood"
Lil Nas X,
Dorothy,gothic country
2NE1,k-pop
Sukhwinder Singh,"bollywood, desi, hindi pop"
MOBB,
