master_metadata_track_name,monthsActive
Spring Day,50
"Me, Myself & I",42
Chill Bill (feat. J. Davi$ & Spooks),38
See U Never,37
Demons,34
I Love You So,34
My Dude,34
Tum Hi Ho,33
シルエット,32
Enchanted,32
Jealous,31
Everybody Wants To Rule The World,31
American Dream,30
Until I Found You (with Em Beihold) - Em Beihold Version,30
Heat Waves,30
Euphoria,30
Indigo,30
インフェルノ,30
Good Riddance (Time of Your Life),30
FOOL,30
My Jinji,30
CRY FOR ME,30
Confident,29
Gold Coast,29
Gone,29
Classic,29
CLAP,29
Let Me Love You,29
EVERYDAY,29
Bad Boy,29
FAKE LOVE,28
Jasmine,28
This Side of Paradise,28
lowkey,28
Sunflower - Spider-Man: Into the Spider-Verse,28
LOVE SCENARIO,28
Sunn Raha Hai (Male Version),28
Epiphany,28
I Wanna Be Yours,27
Sorry Dipannita,27
MOVE,27
Under The Influence,27
Me and My Husband,27
Moonlight,27
As If It's Your Last,27
I Need Somebody,27
Save Your Tears (with Ariana Grande) (Remix),26
Ghum (Official),26
LOSER,26
Love Shot,26
I Need U,26
Hope Not,26
"무제(無題) (Untitled, 2014)",26
Janam Janam,25
"Ranjha (From ""Shershaah"")",25
Aao Chalein,25
紅蓮華,25
I Loved You,25
Kal Ho Naa Ho,25
High School in Jakarta,25
The Eve,25
BBIBBI,25
Counting Stars,25
I Like U,25
Sweater Weather,25
good 4 u,24
Growl,24
BeVerly Hills BoYfRiEnd,24
Aao Milo Chalo,24
DNA,24
Primadonna,24
Some,24
Split,24
double take,24
Gashina,23
Misbehave,23
Alexander Hamilton,23
E Hawa,23
Somewhere Only We Know,23
La La Lost You,23
FXXK IT,23
Lose,23
無畏 (電視劇《以家人之名》片頭主題曲),23
Mayonaka no Door / Stay With Me,23
Why So Lonely,23
Tempo,23
Starry Night,23
Starlight,23
Muskurane - Romantic,22
AH YEAH,22
Anti-Romantic,22
Warpaint,22
"Very, Slowly",22
Serendipity (Full Length Edition),22
MAMA,22
I'm Fine,22
Sofia,22
Cloud 9,22
Need to Know,22
veil,22
Miracles in December - Chinese Version,21
