master_metadata_album_artist_name,totalPlays,totalMinutes,averageMinutesPerPlay
BTS,2942,9143.29145,3.1078488953093135
NIKI,1164,3507.31275,3.0131552835051547
TWICE,1090,2953.350716666667,2.7094960703363915
88rising,829,2495.2389,3.0099383594692397
BIGBANG,774,2483.0662833333336,3.2080959732988807
BLACKPINK,868,2469.9383666666668,2.845551113671275
Pritam,681,2368.7111833333333,3.4782836759667157
EXO,830,2320.16965,2.7953851204819276
The Weeknd,731,1995.0116166666667,2.729154058367533
IVE,711,1988.6121166666667,2.7969228082512894
WINNER,682,1963.9882,2.879748093841642
Taylor Swift,538,1881.4319666666668,3.4970854399008675
LE SSERAFIM,700,1818.4761,2.597823
iKON,562,1664.67185,2.9620495551601422
(G)I-DLE,550,1497.6779999999999,2.723050909090909
Leslie Odom Jr.,909,1441.0148,1.585274807480748
Stray Kids,544,1347.7367833333333,2.4774573223039216
Mitski,517,1301.4904666666666,2.5173896840747902
Lana Del Rey,411,1297.9878666666666,3.1581213300892133
Tears For Fears,339,1197.8646666666666,3.5335240904621434
Salim–Sulaiman,359,1171.4414333333334,3.263068059424327
DAY6,362,1168.076,3.226729281767956
aespa,419,1166.84665,2.784836873508353
Arijit Singh,338,1099.5166333333334,3.253007790927022
Jatin-Lalit,278,1091.38265,3.925836870503597
NewJeans,475,1088.8077833333334,2.292226912280702
GOT7,405,1029.38125,2.541682098765432
Childish Gambino,303,1021.8465666666667,3.3724309130913093
Lin-Manuel Miranda,741,1011.5380833333334,1.3650986279802069
Bruno Mars,577,1007.8081333333333,1.7466345465049105
Shreya Ghoshal,283,995.2684,3.5168494699646646
MAMAMOO,335,970.9922,2.8984841791044778
Shawn Mendes,499,954.2881833333333,1.912401169004676
Kendrick Lamar,430,904.566,2.103641860465116
keshi,365,889.9178833333333,2.4381311872146116
Arctic Monkeys,342,872.4401166666667,2.550994493177388
IU,288,860.92715,2.9893303819444443
Rich Brian,300,848.1753166666666,2.8272510555555552
Chase Atlantic,254,839.3412666666667,3.3044931758530183
Juice WRLD,297,836.0356833333333,2.814934960718294
Stephen Sanchez,309,831.5156166666667,2.690989050701187
Palak Muchhal,241,821.3363166666667,3.408034508990318
Atif Aslam,234,808.9336833333333,3.4569815527065524
TAEYANG,263,795.8915166666667,3.0262034854245883
Udit Narayan,182,786.5606166666666,4.3217616300366295
Eminem,410,774.43865,1.8888747560975612
Jung Kook,238,721.6082,3.0319672268907563
Travis Scott,240,703.5043333333333,2.9312680555555555
Doja Cat,252,698.7852833333333,2.7729574735449734
Olivia Rodrigo,260,697.85795,2.6840690384615384
SEVENTEEN,269,693.34755,2.577500185873606
Joji,279,692.2498166666667,2.4811821385902033
Litany,216,674.7343166666667,3.1237699845679012
Justin Bieber,242,674.3642,2.7866289256198344
BIBI,239,667.5977166666667,2.7932958856345884
2NE1,218,662.6421666666666,3.039642966360856
ROSÉ,219,661.3131500000001,3.0196947488584476
A.R. Rahman,210,659.9636166666667,3.142683888888889
Meghdol,150,655.5362833333334,4.370241888888889
Austin Moon,305,653.6618,2.1431534426229506
Wonder Girls,205,648.7637333333333,3.1647011382113823
Miki Matsubara,153,647.8645333333333,4.23440871459695
Phillipa Soo,424,647.5016333333333,1.5271264937106916
beabadoobee,260,634.6216333333333,2.440852435897436
Chris Brown,230,634.4945666666666,2.758672028985507
The Neighbourhood,179,615.9979666666667,3.4413294227188085
G-Eazy,264,602.9685666666667,2.2839718434343435
Metallica,106,598.8675666666667,5.649694025157233
Shankar-Ehsaan-Loy,174,596.413,3.42766091954023
MKTO,315,592.0997666666667,1.879681798941799
Claire Rosinkranz,221,585.3503666666667,2.6486441930618403
Metro Boomin,195,585.03655,3.000187435897436
Mithoon,158,579.6783666666666,3.6688504219409284
Jasleen Royal,193,573.9257,2.9737082901554404
落日飛車 Sunset Rollercoaster,117,570.1436,4.873022222222223
Lata Mangeshkar,131,568.7982166666667,4.341971119592875
Kali Uchis,216,554.9444333333333,2.569187191358025
LeeHi,165,545.2523166666666,3.3045594949494945
Fujii Kaze,214,545.2349166666667,2.5478267133956387
LiSA,157,544.2488,3.466552866242038
Pentatonix,277,542.7689666666666,1.9594547533092659
Ankit Tiwari,98,542.39025,5.534594387755102
Glass Animals,150,533.21995,3.554799666666667
Laufey,204,531.3687666666667,2.6047488562091505
Red Velvet,206,530.1850666666667,2.573713915857605
Maruf Parvez,103,514.9880333333333,4.999883818770226
Don Toliver,206,514.6893833333334,2.49849215210356
DNCE,261,499.58293333333336,1.9141108556832696
Ariana Grande,244,497.1098333333333,2.0373353825136613
