month,master_metadata_track_name,playCount
2016-03,Burnin' Up,9
2016-03,Cake By The Ocean,8
2016-03,Pay My Rent,7
2016-03,Toothbrush,7
2016-03,Jinx,5
2016-03,Counting Stars,3
2016-03,Hamilton - Berlin Night Mix,3
2016-03,Hold On,3
2016-03,Video Girl,3
2016-03,Alexander Hamilton,2
2016-03,American Dream,2
2016-03,Happy,2
2016-03,Pushin' Me Away,2
2016-03,Shelf,2
2016-03,When You Look Me in the Eyes,2
2016-03,"A Spoonful Of Sugar - From ""Mary Poppins""",1
2016-03,Arabian Nights,1
2016-03,Bad Girls,1
2016-03,Bird Set Free,1
2016-03,Bonbon,1
2016-03,Cake by the Ocean,1
2016-03,Can't Have You,1
2016-03,Cheap Thrills,1
2016-03,Classic,1
2016-03,Every Breaking Wave,1
2016-03,Fast Car,1
2016-03,Fly With Me,1
2016-03,"For the First Time in Forever (Reprise) - From ""Frozen""/Soundtrack Version",1
2016-03,Hakuna Matata,1
2016-03,Happy?,1
2016-03,Heart Attack,1
2016-03,Hello,1
2016-03,Inseparable,1
2016-03,Just the Way You Are,1
2016-03,Locked out of Heaven,1
2016-03,Lovebug,1
2016-03,Marry You,1
2016-03,Min Pik Den Er Flot,1
2016-03,Never Forget You,1
2016-03,No Broken Hearts (feat. Nicki Minaj),1
2016-03,One Man Show,1
2016-03,Play My Music,1
2016-03,Que Vuelvas,1
2016-03,Rock Bottom,1
2016-03,Should've Said No - The 3D Concert Experience,1
2016-03,"Sit Still, Look Pretty",1
2016-03,Sugar,1
2016-03,"The Bare Necessities - From ""The Jungle Book"" Soundtrack",1
2016-03,The Lazy Song,1
2016-03,The Little Things (feat. Angela McCluskey),1
2016-03,Tonight,1
2016-03,Uptown Funk,1
2016-03,Uptown Funk (feat. Bruno Mars),1
2016-03,What Makes You Beautiful,1
2016-03,When I Was Your Man,1
2016-03,"Wicked Game - Live At Killkenny Arts Festival, Ireland/2011",1
2016-03,"Zero To Hero - From ""Hercules""",1
2016-04,"Me, Myself & I",26
2016-04,Alexander Hamilton,18
2016-04,Happy Hours,15
2016-04,American Dream,14
2016-04,Cake By The Ocean,12
2016-04,Grenade,10
2016-04,The Lazy Song,10
2016-04,One Of Them (feat. Big Sean),9
2016-04,Uptown Funk (feat. Bruno Mars),9
2016-04,Count on Me,8
2016-04,Pay My Rent,8
2016-04,Kung Fu Fighting,7
2016-04,Toothbrush,7
2016-04,Jinx,5
2016-04,"Aaron Burr, Sir",4
2016-04,Burnin' Up,3
2016-04,Drag Me Down,3
2016-04,Perfect,2
2016-04,We Are The Champions - Remastered 2011,2
2016-04,We Will Rock You - Remastered 2011,2
2016-04,Break Free,1
2016-04,Dance the Kung Fu,1
2016-04,Emperor's New Clothes,1
2016-04,Happy Hours - Remix,1
2016-04,Highlights,1
2016-04,I Know What You Did Last Summer,1
2016-04,I Want To Break Free - Remastered 2011,1
2016-04,Ladies Hit Squad,1
2016-04,Leaving Los Feliz (feat. Kevin Parker),1
2016-04,Lenny the Great,1
2016-04,Moonshine,1
2016-04,My Shot,1
2016-04,Nothing to Me (feat. Keyshia Cole & E-40),1
2016-04,Paranoid,1
2016-04,Piano Man,1
2016-04,Pom Poms,1
2016-04,Reprise: There's Nowhere To Go But Up!,1
2016-04,S.O.S.,1
2016-04,Stay Alive,1
2016-04,Time to Go Home,1
2016-04,When I Was Your Man,1
2016-04,Work,1
2016-04,Year 3000,1
2016-04,Young Girls,1
2016-05,Count on Me,44
2016-05,Heart Of Fire,44
2016-05,The Lazy Song,41
2016-05,"Me, Myself & I",39
2016-05,Grenade,38
2016-05,Uptown Funk (feat. Bruno Mars),37
2016-05,Alexander Hamilton,36
2016-05,American Dream,36
2016-05,Cake By The Ocean,26
2016-05,Guns and Ships,25
2016-05,Happy Hours,25
2016-05,Not Afraid,16
2016-05,When I'm Gone,16
2016-05,My House,12
2016-05,Phenomenal,7
2016-05,Classic,6
2016-05,Pay My Rent,6
2016-05,Burnin' Up,5
2016-05,Journey (Ready to Fly),5
2016-05,Gorilla,2
2016-05,I Am Bulletproof,2
2016-05,If I Knew,2
2016-05,It Will Rain,2
2016-05,Liquor Store Blues (feat. Damian Marley),2
2016-05,Show Me,2
2016-05,A Winter's Ball,1
2016-05,Apply Some Pressure (feat. Paul Smith),1
2016-05,Cold Wind Blows,1
2016-05,Crack A Bottle,1
2016-05,Drag Me To The Grave,1
2016-05,Fallen Angels,1
2016-05,Fly With Me,1
2016-05,God Put a Smile on Your Face (feat. The Daptone Horns),1
2016-05,Gorilla (feat. R. Kelly and Pharrell) - G-Mix,1
2016-05,Here It Is (feat. Chris Brown),1
2016-05,In My Mind Pt. 2 (feat. Georgi Kay),1
2016-05,Just the Way You Are,1
2016-05,Knives and Pens,1
2016-05,L.A. Baby (Where Dreams Are Made Of),1
2016-05,Lose It (In The End),1
2016-05,Lovebug,1
2016-05,Mockingbird,1
2016-05,Money Make Her Smile,1
2016-05,My Shot,1
2016-05,Natalie,1
2016-05,New Years Day,1
