year,master_metadata_track_name,playCount
2016,Alexander Hamilton,157
2016,"Me, Myself & I",130
2016,Guns and Ships,114
2016,Count on Me,108
2016,American Dream,106
2016,Grenade,102
2016,Mockingbird,102
2016,The Lazy Song,97
2016,Uptown Funk (feat. Bruno Mars),97
2016,Heathens,86
2016,One Call Away,80
2016,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",79
2016,Counting Stars,77
2016,Demons,76
2016,Go Ahead and Break My Heart (feat. Gwen Stefani),74
2016,Classic,72
2016,My Shot,71
2016,My House,67
2016,Mad World,65
2016,Heart Of Fire,64
2016,See You Again (feat. Charlie Puth),64
2016,7 Years,63
2016,All of Me,63
2016,Helpless,63
2016,Right Hand Man,61
2016,Shut Up and Dance,61
2016,Stay Alive,60
2016,The Story of Tonight,59
2016,Sugar,58
2016,"CAN'T STOP THE FEELING! (from DreamWorks Animation's ""TROLLS"")",57
2016,Unstoppable,57
2016,"Whenever, Wherever",56
2016,Yorktown (The World Turned Upside Down),56
2016,"Aaron Burr, Sir",53
2016,Farmer Refuted,51
2016,Satisfied,51
2016,We Don't Talk Anymore (feat. Selena Gomez),51
2016,Good Riddance (Time of Your Life),49
2016,Non-Stop,49
2016,Cake By The Ocean,47
2016,Love Somebody,47
2016,You'll Be Back,47
2016,A Winter's Ball,46
2016,Came Here to Forget,46
2016,Fight Song,46
2016,The Schuyler Sisters,46
2016,Dear Theodosia,45
2016,Wait for It,45
2016,The Kiss,44
2016,Say Something,42
2016,The Story of Tonight - Reprise,42
2016,Happy Hours,40
2016,Take a Break,40
2016,Ten Duel Commandments,39
2016,That Would Be Enough,39
2016,Washington on Your Side,39
2016,Don't Wanna Know,38
2016,History Has Its Eyes on You,38
2016,The Hanging Tree,38
2016,What Comes Next?,38
2016,Say No to This,37
2016,The Room Where It Happens,37
2016,When I'm Gone,37
2016,Meet Me Inside,36
2016,One Last Time,36
2016,Abraham's Daughter,34
2016,Hurricane,34
2016,What'd I Miss,33
2016,Cabinet Battle #1,32
2016,Side To Side,31
2016,Wrecking Ball - The Voice Performance,31
2016,Cabinet Battle #2,30
2016,Hall of Fame (feat. will.i.am),30
2016,Schuyler Defeated,29
2016,The Reynolds Pamphlet,29
2016,I Know Him,27
2016,Not Afraid,27
2016,The Adams Administration,26
2016,We Know,26
2016,Blow Us All Away,25
2016,Happy,24
2016,Smooth Criminal (Glee Cast Version) (feat. 2CELLOS),24
2016,Burn,22
2016,Glad You Came,22
2016,Pay My Rent,22
2016,It's Quiet Uptown,21
2016,Phenomenal,20
2016,Stay Alive - Reprise,19
2016,Burnin' Up,17
2016,Closer,17
2016,La La La (Brazil 2014) (feat. Carlinhos Brown),17
2016,The Election of 1800,17
2016,Toothbrush,15
2016,Your Obedient Servant,14
2016,Journey (Ready to Fly),13
2016,"Who Lives, Who Dies, Who Tells Your Story",12
2016,Jinx,11
2016,Starboy,11
2016,Best of Wives and Best of Women,10
2016,Promentory,10
2016,The World Was Wide Enough,10
2016,Best Day Of My Life,9
2016,One Of Them (feat. Big Sean),9
2016,I See Fire,8
2016,Kung Fu Fighting,7
2016,"i hate u, i love u (feat. olivia o'brien)",7
2016,Main Title,6
2016,Elk Hunt,5
2016,Once I Was 7 Years Old,5
2016,Break Free,4
2016,Fort Battle,4
2016,"I'll Make a Man Out of You - From ""Mulan""/Soundtrack",4
2016,Purple Lamborghini (with Rick Ross),4
2016,The Glade Part II,4
2016,Undefeated (feat. KB),4
2016,Wherever You Will Go,4
2016,Drag Me Down,3
2016,Gale Song - From “The Hunger Games: Catching Fire” Soundtrack,3
2016,Hamilton - Berlin Night Mix,3
2016,Hold On,3
2016,No Love,3
2016,Video Girl,3
2016,When I Was Your Man,3
2016,Wrecking Ball,3
2016,You Don't Own Me (feat. G-Eazy),3
2016,24K Magic,2
2016,Banana Madness,2
2016,Chains,2
2016,Counting Stars - The Voice Performance,2
2016,Dare (La La La),2
