master_metadata_track_name,master_metadata_album_artist_name,playCount,totalMinutes,averageMinutesPerPlay
Everybody Wants To Rule The World,Tears For Fears,335,1190.2665666666667,3.553034527363184
I AM,IVE,417,1181.24055,2.8327111510791365
Spring Day,BTS,243,989.76715,4.073115843621399
Until I Found You (with Em Beihold) - Em Beihold Version,Stephen Sanchez,274,732.5586999999999,2.6735718978102185
Enchanted,Taylor Swift,143,683.1530333333334,4.77729393939394
My Dude,Litany,206,651.8085,3.1641189320388348
Under The Influence,Chris Brown,227,627.38325,2.763802863436123
"Me, Myself & I",G-Eazy,252,594.2412166666667,2.358100066137566
Master of Puppets,Metallica,104,581.6880333333334,5.593154166666666
My Jinji,落日飛車 Sunset Rollercoaster,117,570.1436,4.873022222222223
See U Never,NIKI,170,564.1484,3.3185200000000004
E Hawa,Meghdol,128,558.7786833333333,4.365458463541667
Tum Hi Ho,Mithoon,144,535.9439500000001,3.721832986111112
Sunn Raha Hai (Male Version),Ankit Tiwari,93,533.4017,5.735502150537634
Heat Waves,Glass Animals,149,530.2982666666667,3.559048769574944
CRY FOR ME,TWICE,171,528.0416333333334,3.0879627680311894
Gone,ROSÉ,166,519.9153166666667,3.1320199799196793
Mayonaka no Door / Stay With Me,Miki Matsubara,114,518.4437333333333,4.547752046783625
Sorry Dipannita,Maruf Parvez,103,514.9880333333333,4.999883818770226
"Very, Slowly",BIBI,158,509.33304999999996,3.2236268987341767
Tere Liye,Atif Aslam,123,498.03906666666666,4.04909810298103
Still With You,Jung Kook,150,496.8141166666667,3.312094111111111
"One Of The Girls (with JENNIE, Lily Rose Depp)",The Weeknd,145,490.85951666666665,3.3852380459770113
High School in Jakarta,NIKI,150,475.3786833333333,3.169191222222222
BOOM,NCT DREAM,162,470.8580833333333,2.906531378600823
I Wanna Be Yours,Arctic Monkeys,189,469.3856833333333,2.4835221340388007
I Love You So,The Walters,192,459.3002666666667,2.392188888888889
This Side of Paradise,Coyote Theory,123,434.6716,3.5339154471544716
Starlight,TAEIL,132,432.96383333333335,3.2800290404040404
BTBT,B.I,137,432.69103333333334,3.1583287104622872
Sour Grapes,LE SSERAFIM,146,426.79956666666664,2.9232847031963467
FOOL,WINNER,137,414.0253833333333,3.0220830900243305
American Dream,MKTO,189,406.0804166666667,2.1485736331569667
FAKE LOVE,BTS,128,402.2857,3.14285703125
"Ghalat Fehmi - From ""Superstar""",Asim Azhar,95,397.3313,4.182434736842105
"Kar Har Maidaan Fateh (From ""Sanju"")",Sukhwinder Singh,100,385.07576666666665,3.8507576666666665
Chill Bill (feat. J. Davi$ & Spooks),Rob $tone,139,383.0401,2.7556841726618706
Split,88rising,123,382.8254833333333,3.112402303523035
"Dekha Ek Khwab (From ""Silsila"")",Lata Mangeshkar,87,381.2284666666667,4.381936398467433
Super Shy,NewJeans,172,380.46215,2.2119892441860465
Kabira (Encore),Pritam,98,378.81373333333335,3.8654462585034013
Tell Me (Rap Version),Wonder Girls,111,374.28819999999996,3.3719657657657653
Aao Milo Chalo,Pritam,85,369.95185,4.352374705882353
EVERYDAY,WINNER,125,368.0374333333333,2.944299466666666
Let It Happen,Tame Impala,72,367.2409333333333,5.100568518518518
Save Your Tears (with Ariana Grande) (Remix),The Weeknd,140,359.5328333333333,2.5680916666666667
I Need Somebody,DAY6,103,358.16498333333334,3.477329935275081
Alexander Hamilton,Leslie Odom Jr.,205,356.3406166666667,1.7382469105691056
BeVerly Hills BoYfRiEnd,Claire Rosinkranz,142,355.84495,2.505950352112676
Somewhere Only We Know,Keane,112,355.0820166666667,3.1703751488095238
FE!N (feat. Playboi Carti),Travis Scott,119,353.3166333333333,2.969047338935574
Muskurane - Romantic,Jeet Gannguli,82,350.7144833333333,4.277005894308942
Angels Like You,Miley Cyrus,129,345.94258333333335,2.6817254521963827
I Need U,BTS,115,345.44245,3.003847391304348
Counting Stars,OneRepublic,119,345.32165000000003,2.901862605042017
I Don’t Wanna Live Forever (Fifty Shades Darker),ZAYN,120,338.18675,2.818222916666667
Mmmh,KAI,120,337.08965,2.8090804166666667
"Ranjha (From ""Shershaah"")",Jasleen Royal,103,337.01953333333336,3.27203430420712
Starry Night,MAMAMOO,103,335.3938333333333,3.2562508090614886
Chahun Main Ya Naa,Palak Muchhal,96,334.83796666666666,3.487895486111111
Kitsch,IVE,112,332.91533333333336,2.9724583333333334
LOSER,BIGBANG,106,332.8355,3.1399575471698116
Gold Coast,88rising,93,327.02135,3.5163586021505373
Let Me Love You,Mario,97,326.52484999999996,3.366235567010309
Dilbaro,Harshdeep Kaur,74,323.30098333333336,4.368932207207208
Lost on You,LP,86,320.8782,3.731141860465116
good 4 u,Olivia Rodrigo,123,317.03325,2.577506097560976
シルエット,KANA-BOON,94,317.0162833333333,3.372513652482269
Sweater Weather,The Neighbourhood,89,315.86598333333336,3.5490559925093637
LOVE SCENARIO,iKON,103,313.8638,3.0472213592233013
Better Things,aespa,99,313.63065,3.1679863636363637
My Shot,Lin-Manuel Miranda,121,312.9158,2.586080991735537
CLAP,SEVENTEEN,129,312.35633333333334,2.4213669250645995
Summertime Sadness,Lana Del Rey,93,311.0493333333333,3.344616487455197
Dandelions,Ruth B.,89,306.9560333333333,3.448944194756554
Anti-Romantic,TOMORROW X TOGETHER,103,304.08754999999996,2.9523063106796115
Confident,Justin Bieber,87,302.79138333333333,3.4803607279693485
Running Up That Hill (A Deal With God) - 2018 Remaster,Kate Bush,73,301.9023,4.13564794520548
Nagada Sang Dhol,Shreya Ghoshal,105,301.64565,2.8728157142857143
I Like U,NIKI,77,301.0776,3.9100987012987014
First Love/Late Spring,Mitski,73,298.17505,4.084589726027398
LION,(G)I-DLE,98,297.2219666666667,3.032877210884354
GOODBYE ROAD,iKON,81,296.32005,3.658272222222222
Dance Pe Chance,Salim–Sulaiman,76,296.16005,3.896842763157895
Smart,LE SSERAFIM,115,295.47786666666667,2.5693727536231883
Escapism.,RAYE,79,294.86041666666665,3.7324103375527424
"Banjaara (From ""Ek Villain"")",Mohammed Irfan,68,292.67171666666667,4.3039958333333335
Love Story,Indila,63,292.59408333333334,4.644350529100529
Euphoria,BTS,88,288.6601333333333,3.2802287878787877
Epiphany,BTS,83,284.43331666666666,3.4269074297188755
Primadonna,MARINA,81,284.19258333333335,3.508550411522634
As If It's Your Last,BLACKPINK,93,282.16049999999996,3.0339838709677416
California (feat. Warren Hue),88rising,83,281.72653333333335,3.3942955823293173
I'M OK,iKON,87,280.2384,3.2211310344827586
Egotistic,MAMAMOO,99,279.15278333333333,2.8197250841750843
FXXK IT,BIGBANG,89,278.97356666666667,3.134534456928839
I Loved You,DAY6,79,278.2445166666667,3.5220824894514773
double take,Dhruv,109,277.44528333333335,2.5453695718654434
Doin' Time,Lana Del Rey,113,275.7602,2.4403557522123895
Misbehave,Ziya,108,275.66086666666666,2.5524154320987655
Mockingbird,Eminem,148,275.63266666666664,1.8623828828828828
lowkey,NIKI,111,275.28181666666666,2.480016366366366
Young Dumb & Broke,Khalid,95,275.1444,2.8962568421052635
Tujh Mein Rab Dikhta Hai,Salim–Sulaiman,73,274.72473333333335,3.7633525114155253
Shada Shada Kala Kala,Hawa,83,274.29994999999997,3.3048186746987946
Hold On Tight,aespa,117,273.9364,2.341336752136752
كلام عينيه,Sherine,73,272.29825,3.73011301369863
"눈,코,입 (Eyes, Nose, Lips)",TAEYANG,81,272.26121666666666,3.3612495884773663
"무제(無題) (Untitled, 2014)",G-DRAGON,84,271.6823166666667,3.2343132936507937
Grenade,Bruno Mars,122,271.2600166666667,2.2234427595628414
Reflections,The Neighbourhood,74,270.6023333333333,3.656788288288288
Tempo,EXO,93,269.32796666666667,2.895999641577061
Jasmine,DPR LIVE,98,268.97051666666664,2.744597108843537
MOVE,TAEMIN,100,268.20846666666665,2.6820846666666665
Criminal,Britney Spears,75,268.0694,3.5742586666666663
"Agar Tum Mil Jao - From ""Zeher""",Shreya Ghoshal,50,267.35568333333333,5.347113666666667
Shinunoga E-Wa,Fujii Kaze,122,267.0635833333333,2.1890457650273225
Love Shot,EXO,94,266.11775,2.8310398936170214
The Truth Untold,BTS,72,265.8682333333333,3.6926143518518515
Warpaint,88rising,85,263.9895,3.105758823529412
Right Hand Man,Lin-Manuel Miranda,108,263.8081,2.442667592592593
SOBER,BIGBANG,77,262.52685,3.4094396103896107
Perfect Night,LE SSERAFIM,109,262.0842333333334,2.4044425076452605
Shape of You,Ed Sheeran,103,260.6525,2.5306067961165044
Cake By The Ocean,DNCE,157,260.57446666666664,1.6597099787685774
"Sunn Raha Hai (From ""Aashiqui 2"")",Shreya Ghoshal,68,259.35465,3.814038970588235
Insane,AP Dhillon,85,257.6129833333333,3.0307409803921566
Ekhon Onek Raat,Anupam Roy,74,256.20135,3.4621804054054053
Hope Not,BLACKPINK,93,255.90921666666665,2.7517120071684587
Tip Toe,HYBS,81,255.86686666666668,3.158850205761317
I'm Fine,BTS,71,253.78186666666667,3.574392488262911
Swim,Chase Atlantic,80,253.33498333333333,3.1666872916666664
紅蓮華,LiSA,74,252.93263333333334,3.418008558558559
AEAO,Dynamicduo,57,252.81398333333334,4.435333040935673
Lose,NIKI,70,252.75439999999998,3.6107771428571427
Bad Boy,BIGBANG,69,252.7423,3.662931884057971
Dos Oruguitas,Sebastian Yatra,76,252.7383,3.3255039473684214
DNA,BTS,88,249.7534,2.838106818181818
Satisfied,Renée Elise Goldsberry,97,249.5291,2.572464948453608
Jealous,Nick Jonas,79,247.78581666666668,3.1365293248945147
Growl,EXO,88,244.12496666666667,2.7741473484848487
Kal Ho Naa Ho,Shankar-Ehsaan-Loy,71,243.41543333333334,3.428386384976526
MIC Drop (Steve Aoki Remix) [Full Length Edition],BTS,64,240.74688333333333,3.7616700520833333
Every Summertime,NIKI,77,240.38398333333333,3.1218699134199133
Serendipity (Full Length Edition),BTS,67,240.29446666666666,3.586484577114428
BTS Cypher 4,BTS,64,240.04073333333332,3.750636458333333
